2025-04-29 23:52:07.6562 | INFO | Microsoft.Hosting.Lifetime | Now listening on: https://localhost:7256  | url: 
2025-04-29 23:52:07.6941 | INFO | Microsoft.Hosting.Lifetime | Now listening on: http://localhost:5031  | url: 
2025-04-29 23:52:08.0236 | INFO | Microsoft.Hosting.Lifetime | Application started. Press Ctrl+C to shut down.  | url: 
2025-04-29 23:52:08.1863 | INFO | Microsoft.Hosting.Lifetime | Hosting environment: Development  | url: 
2025-04-29 23:52:08.1863 | INFO | Microsoft.Hosting.Lifetime | Content root path: C:\Users\elizz\OneDrive\Pulpit\CarRental\CarRental\CarRental  | url: 
2025-04-29 23:52:49.5937 | INFO | Microsoft.Hosting.Lifetime | Now listening on: https://localhost:7256  | url: 
2025-04-29 23:52:49.6064 | INFO | Microsoft.Hosting.Lifetime | Now listening on: http://localhost:5031  | url: 
2025-04-29 23:52:50.8974 | INFO | Microsoft.Hosting.Lifetime | Application started. Press Ctrl+C to shut down.  | url: 
2025-04-29 23:52:50.9099 | INFO | Microsoft.Hosting.Lifetime | Hosting environment: Development  | url: 
2025-04-29 23:52:50.9099 | INFO | Microsoft.Hosting.Lifetime | Content root path: C:\Users\elizz\OneDrive\Pulpit\CarRental\CarRental\CarRental  | url: 
2025-04-29 23:58:55.8996 | INFO | Microsoft.Hosting.Lifetime | Now listening on: https://localhost:7256  | url: 
2025-04-29 23:58:55.9189 | INFO | Microsoft.Hosting.Lifetime | Now listening on: http://localhost:5031  | url: 
2025-04-29 23:58:56.1546 | INFO | Microsoft.Hosting.Lifetime | Application started. Press Ctrl+C to shut down.  | url: 
2025-04-29 23:58:56.1546 | INFO | Microsoft.Hosting.Lifetime | Hosting environment: Development  | url: 
2025-04-29 23:58:56.1546 | INFO | Microsoft.Hosting.Lifetime | Content root path: C:\Users\elizz\OneDrive\Pulpit\CarRental\CarRental\CarRental  | url: 
